education_level,skills,certifications,experience_score,cgpa,career_label
Master,"Machine Learning, Python",AWS Certified,2,45,Data Scientist
Master,"Ethical Hacking, Linux",None,4.5,65,Cybersecurity Analyst
Master,"Networking, Ethical Hacking",AWS Certified,3.5,60,Cybersecurity Analyst
Master,"React, C++, SQL, Java",None,0,20,Software Engineer
PhD,"Python, Deep Learning, SQL, Machine Learning",None,7,100,Data Scientist
Bachelor,"Python, Machine Learning, Deep Learning",Google ML,1.5,40,Data Scientist
Bachelor,"Pytorch, TensorFlow",Deep Learning Specialization,8.5,100,AI Researcher
Bachelor,"Python, Pytorch, TensorFlow, NLP",Google ML,7,100,AI Researcher
PhD,"Python, NLP",Deep Learning Specialization,5,70,AI Researcher
Master,"SQL, C++, React, Java",Google ML,6.5,100,Software Engineer
Master,"SQL, Deep Learning, Machine Learning",None,4,85,Data Scientist
Bachelor,"Networking, Ethical Hacking",None,2,30,Cybersecurity Analyst
Master,"Linux, Ethical Hacking",AWS Certified,3,60,Cybersecurity Analyst
Bachelor,"Networking, Linux, Cybersecurity, Ethical Hacking",AWS Certified,4.5,100,Cybersecurity Analyst
Bachelor,"SQL, Java",None,4.5,70,Software Engineer
Bachelor,"TensorFlow, Python, NLP, Pytorch",AWS Certified,1,45,AI Researcher
Master,"React, Java, SQL",Deep Learning Specialization,4.5,90,Software Engineer
Master,"TensorFlow, Pytorch",Deep Learning Specialization,7,100,AI Researcher
Bachelor,"Linux, Cybersecurity, Ethical Hacking",None,2,45,Cybersecurity Analyst
Bachelor,"Python, NLP",None,6.5,100,AI Researcher
Master,"Deep Learning, Python",Deep Learning Specialization,6.5,100,Data Scientist
Bachelor,"Linux, Networking, Ethical Hacking",None,7.5,100,Cybersecurity Analyst
PhD,"Java, C++, React",None,6.5,100,Software Engineer
Bachelor,"React, Java, SQL",None,1.5,45,Software Engineer
PhD,"NLP, Pytorch, Python",Google ML,6.5,100,AI Researcher
Master,"Java, SQL, C++, React",Google ML,5,100,Software Engineer
Bachelor,"Cybersecurity, Linux, Ethical Hacking",AWS Certified,4,80,Cybersecurity Analyst
Master,"Ethical Hacking, Networking, Linux",Google ML,1.5,45,Cybersecurity Analyst
Bachelor,"C++, React",Deep Learning Specialization,7.5,100,Software Engineer
Bachelor,"Python, Machine Learning, Deep Learning",Deep Learning Specialization,5,75,Data Scientist
Bachelor,"SQL, Python",Deep Learning Specialization,9,100,Data Scientist
Bachelor,"SQL, Python, Deep Learning, Machine Learning",Google ML,6,100,Data Scientist
Master,"Pytorch, NLP, Python, TensorFlow",AWS Certified,5.5,100,AI Researcher
Master,"NLP, TensorFlow, Pytorch",AWS Certified,4.5,85,AI Researcher
Bachelor,"Pytorch, TensorFlow, NLP",AWS Certified,5,100,AI Researcher
Bachelor,"TensorFlow, Python, NLP, Pytorch",None,4,80,AI Researcher
Bachelor,"React, C++",Google ML,6.5,100,Software Engineer
Bachelor,"Linux, Ethical Hacking, Networking",Deep Learning Specialization,5.5,100,Cybersecurity Analyst
Bachelor,"NLP, Pytorch, TensorFlow",AWS Certified,1,40,AI Researcher
Master,"C++, SQL, Java",Deep Learning Specialization,6,100,Software Engineer
Master,"Pytorch, NLP, Python",Google ML,6,100,AI Researcher
PhD,"Deep Learning, Python, SQL, Machine Learning",AWS Certified,2,55,Data Scientist
Master,"NLP, TensorFlow",None,4.5,95,AI Researcher
Master,"NLP, Python",None,7,100,AI Researcher
Bachelor,"C++, React, Java",Deep Learning Specialization,8.5,100,Software Engineer
PhD,"Python, Machine Learning, SQL",None,3.5,80,Data Scientist
Bachelor,"Python, Pytorch, TensorFlow, NLP",AWS Certified,8,100,AI Researcher
Bachelor,"Java, SQL",Deep Learning Specialization,2,55,Software Engineer
Master,"Machine Learning, Deep Learning, SQL, Python",AWS Certified,1.5,60,Data Scientist
PhD,"Ethical Hacking, Linux",None,5,65,Cybersecurity Analyst
Master,"Machine Learning, Python, Deep Learning",Deep Learning Specialization,2.5,55,Data Scientist
Bachelor,"Pytorch, NLP, Python, TensorFlow",None,5.5,100,AI Researcher
Master,"Cybersecurity, Linux, Ethical Hacking",AWS Certified,5,100,Cybersecurity Analyst
Bachelor,"Cybersecurity, Networking, Linux, Ethical Hacking",None,6.5,100,Cybersecurity Analyst
Bachelor,"Networking, Linux, Ethical Hacking, Cybersecurity",Google ML,10,100,Cybersecurity Analyst
Master,"Python, Machine Learning, Deep Learning",Deep Learning Specialization,3,55,Data Scientist
Master,"Cybersecurity, Linux, Ethical Hacking",None,6,90,Cybersecurity Analyst
Bachelor,"React, SQL, Java",Google ML,5,80,Software Engineer
Master,"NLP, Pytorch, TensorFlow",Deep Learning Specialization,7,100,AI Researcher
Master,"TensorFlow, NLP, Python",AWS Certified,5,95,AI Researcher
Master,"Networking, Linux",None,4.5,70,Cybersecurity Analyst
PhD,"Python, SQL",Deep Learning Specialization,4.5,65,Data Scientist
Master,"Deep Learning, SQL",Google ML,2.5,70,Data Scientist
PhD,"Cybersecurity, Networking",None,2,50,Cybersecurity Analyst
Master,"C++, Java, React",Google ML,2,65,Software Engineer
Master,"Pytorch, TensorFlow, NLP",AWS Certified,5,80,AI Researcher
Bachelor,"React, C++",Deep Learning Specialization,3,75,Software Engineer
PhD,"Java, React, C++, SQL",Deep Learning Specialization,6.5,100,Software Engineer
Master,"Deep Learning, SQL, Machine Learning, Python",AWS Certified,2.5,60,Data Scientist
Bachelor,"Deep Learning, Machine Learning, Python, SQL",None,2.5,70,Data Scientist
Master,"SQL, Machine Learning, Python, Deep Learning",AWS Certified,4,80,Data Scientist
Bachelor,"Cybersecurity, Ethical Hacking, Linux",Google ML,4,70,Cybersecurity Analyst
Master,"Linux, Networking, Cybersecurity",None,3.5,80,Cybersecurity Analyst
Bachelor,"Python, Deep Learning",AWS Certified,3.5,65,Data Scientist
Bachelor,"NLP, TensorFlow, Pytorch, Python",Deep Learning Specialization,4,100,AI Researcher
Bachelor,"C++, React, Java, SQL",AWS Certified,6.5,100,Software Engineer
Bachelor,"SQL, C++",Deep Learning Specialization,3.5,70,Software Engineer
Bachelor,"Python, NLP, Pytorch, TensorFlow",None,6,100,AI Researcher
Master,"Cybersecurity, Linux, Ethical Hacking",Deep Learning Specialization,8.5,100,Cybersecurity Analyst
PhD,"React, Java",None,6.5,100,Software Engineer
Master,"Networking, Linux",Google ML,7,100,Cybersecurity Analyst
PhD,"SQL, Python, Machine Learning",AWS Certified,5,100,Data Scientist
Bachelor,"Pytorch, NLP",Google ML,7,100,AI Researcher
Bachelor,"Cybersecurity, Ethical Hacking",Deep Learning Specialization,3.5,65,Cybersecurity Analyst
Master,"SQL, C++, React",AWS Certified,5.5,100,Software Engineer
PhD,"SQL, React, C++, Java",Deep Learning Specialization,5.5,100,Software Engineer
Bachelor,"Networking, Cybersecurity, Linux, Ethical Hacking",None,6,100,Cybersecurity Analyst
Master,"Python, Deep Learning, SQL",Deep Learning Specialization,6,100,Data Scientist
PhD,"Java, React, C++",Deep Learning Specialization,1,35,Software Engineer
PhD,"Python, Deep Learning, Machine Learning, SQL",Google ML,6.5,100,Data Scientist
Bachelor,"Java, React",AWS Certified,5,100,Software Engineer
Master,"C++, SQL",AWS Certified,4.5,95,Software Engineer
Master,"Deep Learning, Python, Machine Learning",Google ML,9.5,100,Data Scientist
Master,"Networking, Cybersecurity",None,5.5,90,Cybersecurity Analyst
Master,"Machine Learning, SQL, Deep Learning",Google ML,6.5,100,Data Scientist
Bachelor,"Java, C++, SQL, React",None,5.5,95,Software Engineer
PhD,"Java, React, SQL",AWS Certified,2,65,Software Engineer
Bachelor,"Java, React",Deep Learning Specialization,8,100,Software Engineer
Master,"TensorFlow, Python, NLP",None,5,100,AI Researcher
Bachelor,"Machine Learning, Python",None,7.5,100,Data Scientist
Bachelor,"React, SQL, Java",Deep Learning Specialization,5,100,Software Engineer
Master,"SQL, React, Java",None,0,15,Software Engineer
Bachelor,"Networking, Ethical Hacking, Cybersecurity",Google ML,7.5,100,Cybersecurity Analyst
Bachelor,"Python, Machine Learning, Deep Learning",Deep Learning Specialization,4,100,Data Scientist
Master,"Java, SQL, React",None,6.5,100,Software Engineer
Bachelor,"Java, React, C++, SQL",Google ML,6,100,Software Engineer
Bachelor,"SQL, Java",AWS Certified,8,100,Software Engineer
Master,"NLP, TensorFlow, Python, Pytorch",Google ML,4,70,AI Researcher
Master,"Cybersecurity, Ethical Hacking, Linux, Networking",Deep Learning Specialization,8,100,Cybersecurity Analyst
PhD,"Linux, Networking",None,7.5,100,Cybersecurity Analyst
Bachelor,"Java, C++",Deep Learning Specialization,6,100,Software Engineer
Bachelor,"TensorFlow, Python, NLP",Google ML,5,100,AI Researcher
Master,"NLP, Pytorch, TensorFlow",Deep Learning Specialization,8.5,100,AI Researcher
Master,"Ethical Hacking, Networking, Linux",Google ML,3.5,65,Cybersecurity Analyst
Bachelor,"Pytorch, Python",AWS Certified,9,100,AI Researcher
Master,"C++, Java",Deep Learning Specialization,1.5,35,Software Engineer
Master,"Ethical Hacking, Networking",AWS Certified,8,100,Cybersecurity Analyst
Master,"TensorFlow, Pytorch, Python, NLP",AWS Certified,3,80,AI Researcher
Bachelor,"Pytorch, Python, TensorFlow, NLP",Google ML,7.5,100,AI Researcher
PhD,"Cybersecurity, Ethical Hacking, Networking, Linux",None,4,75,Cybersecurity Analyst
Master,"C++, Java, SQL",Google ML,4.5,80,Software Engineer
Bachelor,"Pytorch, Python",AWS Certified,6.5,100,AI Researcher
PhD,"Python, TensorFlow, Pytorch, NLP",AWS Certified,9,100,AI Researcher
PhD,"SQL, Deep Learning, Machine Learning, Python",None,3.5,60,Data Scientist
Master,"TensorFlow, NLP, Python",Google ML,1,35,AI Researcher
Bachelor,"SQL, Machine Learning, Deep Learning",None,4.5,100,Data Scientist
Master,"Machine Learning, SQL, Python, Deep Learning",Google ML,4,80,Data Scientist
Master,"Python, Machine Learning",Google ML,7.5,100,Data Scientist
Bachelor,"Deep Learning, Machine Learning, SQL",None,3.5,55,Data Scientist
Master,"SQL, Python",Deep Learning Specialization,9,100,Data Scientist
Master,"Networking, Ethical Hacking, Linux, Cybersecurity",Google ML,5,100,Cybersecurity Analyst
Bachelor,"SQL, Machine Learning",Deep Learning Specialization,1,35,Data Scientist
Master,"Machine Learning, Python, SQL",Google ML,2.5,50,Data Scientist
Bachelor,"Linux, Cybersecurity, Ethical Hacking, Networking",AWS Certified,6,100,Cybersecurity Analyst
Master,"React, C++, Java",Deep Learning Specialization,5.5,100,Software Engineer
Master,"Networking, Cybersecurity, Linux",Google ML,6.5,100,Cybersecurity Analyst
Master,"C++, Java, React, SQL",Deep Learning Specialization,9.5,100,Software Engineer
Bachelor,"Ethical Hacking, Networking",None,4.5,95,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Linux",Deep Learning Specialization,4,90,Cybersecurity Analyst
Master,"TensorFlow, Python, NLP",None,8,100,AI Researcher
Master,"C++, React, SQL, Java",Google ML,5,85,Software Engineer
PhD,"SQL, Machine Learning, Deep Learning, Python",None,6,95,Data Scientist
PhD,"Python, Pytorch, NLP",Google ML,4.5,70,AI Researcher
Bachelor,"C++, React, Java",Google ML,9,100,Software Engineer
PhD,"Deep Learning, Machine Learning, SQL",Deep Learning Specialization,6,95,Data Scientist
Bachelor,"Machine Learning, Python, SQL",Deep Learning Specialization,7,100,Data Scientist
Bachelor,"React, SQL, Java, C++",Deep Learning Specialization,3,90,Software Engineer
Bachelor,"Machine Learning, Deep Learning, Python",AWS Certified,6,100,Data Scientist
Bachelor,"Linux, Ethical Hacking, Cybersecurity, Networking",AWS Certified,4,100,Cybersecurity Analyst
Master,"Java, SQL",Deep Learning Specialization,5,100,Software Engineer
Master,"Java, React, SQL, C++",Google ML,7.5,100,Software Engineer
Bachelor,"Java, SQL, C++, React",Deep Learning Specialization,1.5,60,Software Engineer
PhD,"NLP, TensorFlow, Python, Pytorch",AWS Certified,9.5,100,AI Researcher
Master,"Pytorch, TensorFlow, NLP, Python",AWS Certified,2.5,80,AI Researcher
Bachelor,"SQL, Deep Learning, Python, Machine Learning",None,4.5,100,Data Scientist
Master,"Linux, Networking",None,2,50,Cybersecurity Analyst
Master,"SQL, C++, React",Deep Learning Specialization,2.5,55,Software Engineer
PhD,"Networking, Ethical Hacking",Deep Learning Specialization,2.5,45,Cybersecurity Analyst
Bachelor,"TensorFlow, Python, NLP",Deep Learning Specialization,8,100,AI Researcher
Bachelor,"Machine Learning, Python",Google ML,4.5,90,Data Scientist
PhD,"Pytorch, TensorFlow",Google ML,5.5,100,AI Researcher
PhD,"Ethical Hacking, Linux",None,3.5,80,Cybersecurity Analyst
Bachelor,"Networking, Ethical Hacking, Linux, Cybersecurity",Deep Learning Specialization,7,100,Cybersecurity Analyst
Master,"Networking, Ethical Hacking, Cybersecurity, Linux",Deep Learning Specialization,7,100,Cybersecurity Analyst
Bachelor,"Cybersecurity, Linux, Ethical Hacking",AWS Certified,5,80,Cybersecurity Analyst
Master,"Cybersecurity, Linux, Networking, Ethical Hacking",AWS Certified,2,50,Cybersecurity Analyst
Bachelor,"Java, React, SQL, C++",None,5.5,80,Software Engineer
Bachelor,"React, C++",None,7.5,100,Software Engineer
Master,"SQL, React, Java, C++",Google ML,8,100,Software Engineer
Bachelor,"Ethical Hacking, Linux",Deep Learning Specialization,4.5,85,Cybersecurity Analyst
Bachelor,"SQL, Java, C++",AWS Certified,1.5,50,Software Engineer
PhD,"C++, React, SQL",Google ML,7,100,Software Engineer
PhD,"Python, NLP, Pytorch",AWS Certified,1.5,50,AI Researcher
Bachelor,"NLP, Pytorch, TensorFlow",None,9.5,100,AI Researcher
Bachelor,"Linux, Networking, Cybersecurity, Ethical Hacking",Deep Learning Specialization,6,100,Cybersecurity Analyst
Bachelor,"Machine Learning, Deep Learning, SQL",AWS Certified,3,55,Data Scientist
Bachelor,"SQL, C++",AWS Certified,7,100,Software Engineer
PhD,"Networking, Cybersecurity",None,3.5,80,Cybersecurity Analyst
PhD,"Java, React, SQL",None,1,30,Software Engineer
Bachelor,"Ethical Hacking, Networking, Linux",Google ML,4.5,70,Cybersecurity Analyst
Master,"SQL, Machine Learning, Deep Learning, Python",Deep Learning Specialization,5.5,100,Data Scientist
Master,"TensorFlow, NLP, Pytorch, Python",AWS Certified,5.5,100,AI Researcher
Master,"Deep Learning, Machine Learning, SQL",None,7,100,Data Scientist
Bachelor,"Python, Machine Learning",AWS Certified,4.5,100,Data Scientist
Master,"C++, SQL",Google ML,2.5,70,Software Engineer
Master,"Python, Deep Learning, SQL, Machine Learning",Google ML,2.5,80,Data Scientist
Bachelor,"Networking, Linux",None,1,30,Cybersecurity Analyst
PhD,"React, SQL",None,7,100,Software Engineer
Bachelor,"Java, React, C++, SQL",Google ML,7.5,100,Software Engineer
Bachelor,"Pytorch, TensorFlow, NLP",None,4.5,80,AI Researcher
Master,"Java, C++, SQL",Deep Learning Specialization,4.5,100,Software Engineer
PhD,"TensorFlow, Pytorch, NLP, Python",Google ML,8,100,AI Researcher
Master,"SQL, Java, C++, React",Deep Learning Specialization,7,100,Software Engineer
Bachelor,"Deep Learning, Python, Machine Learning",Google ML,4,95,Data Scientist
Bachelor,"SQL, C++, React",None,5,80,Software Engineer
Bachelor,"Ethical Hacking, Networking",AWS Certified,4,90,Cybersecurity Analyst
Bachelor,"Machine Learning, Deep Learning",AWS Certified,7.5,100,Data Scientist
Bachelor,"SQL, Java, React",Deep Learning Specialization,7,100,Software Engineer
Master,"Pytorch, NLP",None,1.5,30,AI Researcher
Master,"Machine Learning, Deep Learning, SQL",Deep Learning Specialization,8.5,100,Data Scientist
Master,"Networking, Linux, Ethical Hacking, Cybersecurity",AWS Certified,6,100,Cybersecurity Analyst
PhD,"TensorFlow, NLP, Python",AWS Certified,5,90,AI Researcher
Bachelor,"Python, Deep Learning, Machine Learning, SQL",Google ML,9,100,Data Scientist
Bachelor,"React, C++, Java, SQL",None,4,85,Software Engineer
PhD,"Python, TensorFlow, Pytorch, NLP",Google ML,2.5,80,AI Researcher
Master,"React, C++, Java, SQL",Deep Learning Specialization,7,100,Software Engineer
Bachelor,"Machine Learning, Python, Deep Learning, SQL",Google ML,2.5,60,Data Scientist
PhD,"React, SQL, Java, C++",None,1,35,Software Engineer
Master,"Ethical Hacking, Networking, Cybersecurity",Deep Learning Specialization,9,100,Cybersecurity Analyst
Bachelor,"Machine Learning, Deep Learning, Python",Deep Learning Specialization,3.5,95,Data Scientist
Master,"Cybersecurity, Linux, Networking, Ethical Hacking",None,5,70,Cybersecurity Analyst
PhD,"Cybersecurity, Ethical Hacking",AWS Certified,3,55,Cybersecurity Analyst
Bachelor,"NLP, Python",AWS Certified,4,85,AI Researcher
PhD,"TensorFlow, Python",AWS Certified,8,100,AI Researcher
Master,"NLP, Pytorch, Python",None,0,15,AI Researcher
Bachelor,"React, Java, C++",AWS Certified,5.5,100,Software Engineer
PhD,"Networking, Linux",None,6,100,Cybersecurity Analyst
Bachelor,"SQL, Deep Learning",Google ML,5,95,Data Scientist
Master,"C++, Java, React, SQL",AWS Certified,6.5,100,Software Engineer
Master,"React, Java",AWS Certified,6,95,Software Engineer
PhD,"Linux, Cybersecurity, Ethical Hacking",Deep Learning Specialization,8,100,Cybersecurity Analyst
Master,"C++, SQL",AWS Certified,3,60,Software Engineer
Master,"TensorFlow, Python, NLP, Pytorch",None,4.5,100,AI Researcher
Bachelor,"Machine Learning, Python, Deep Learning",None,7.5,100,Data Scientist
Bachelor,"C++, React",Deep Learning Specialization,7,100,Software Engineer
Bachelor,"Python, TensorFlow, Pytorch",Deep Learning Specialization,4,70,AI Researcher
Master,"Ethical Hacking, Networking",None,6.5,100,Cybersecurity Analyst
Bachelor,"Python, Machine Learning",None,3,65,Data Scientist
Bachelor,"React, Java, SQL, C++",AWS Certified,5,100,Software Engineer
Master,"React, C++, Java",AWS Certified,4,100,Software Engineer
Master,"SQL, Java, React, C++",Google ML,6,100,Software Engineer
Bachelor,"Deep Learning, SQL",AWS Certified,2.5,50,Data Scientist
Bachelor,"Python, Machine Learning, SQL",AWS Certified,2,45,Data Scientist
Bachelor,"React, Java",AWS Certified,6.5,100,Software Engineer
PhD,"C++, Java",Google ML,6.5,100,Software Engineer
Bachelor,"TensorFlow, Python",None,5.5,90,AI Researcher
Master,"Ethical Hacking, Cybersecurity, Linux",Google ML,3.5,90,Cybersecurity Analyst
Master,"TensorFlow, Python",Deep Learning Specialization,2.5,50,AI Researcher
Master,"Python, SQL, Machine Learning",Deep Learning Specialization,5.5,100,Data Scientist
Bachelor,"Linux, Networking, Ethical Hacking",AWS Certified,3,70,Cybersecurity Analyst
Master,"C++, React",Deep Learning Specialization,7.5,100,Software Engineer
Master,"Linux, Ethical Hacking",AWS Certified,2.5,60,Cybersecurity Analyst
Master,"SQL, React, Java",Google ML,1.5,50,Software Engineer
Master,"Machine Learning, Python, SQL, Deep Learning",None,9.5,100,Data Scientist
PhD,"Deep Learning, SQL, Machine Learning, Python",Google ML,2,65,Data Scientist
Master,"Pytorch, TensorFlow, NLP",Deep Learning Specialization,5,100,AI Researcher
Bachelor,"Pytorch, Python, TensorFlow",None,5,100,AI Researcher
Master,"Pytorch, NLP, Python",Deep Learning Specialization,6,100,AI Researcher
Bachelor,"Python, Machine Learning",Deep Learning Specialization,5,100,Data Scientist
Master,"Machine Learning, Python, Deep Learning",None,5,80,Data Scientist
Bachelor,"NLP, Python, TensorFlow",None,8,100,AI Researcher
Bachelor,"NLP, Pytorch, TensorFlow",Deep Learning Specialization,5.5,100,AI Researcher
Bachelor,"C++, React, SQL, Java",Google ML,9,100,Software Engineer
Bachelor,"NLP, TensorFlow, Pytorch, Python",Google ML,0.5,35,AI Researcher
Bachelor,"SQL, Java",AWS Certified,2.5,70,Software Engineer
Master,"React, SQL",AWS Certified,5,100,Software Engineer
Master,"Python, Deep Learning, Machine Learning",None,7.5,100,Data Scientist
Bachelor,"Cybersecurity, Networking, Ethical Hacking, Linux",AWS Certified,4,95,Cybersecurity Analyst
Bachelor,"Pytorch, TensorFlow, NLP",None,3.5,70,AI Researcher
Master,"C++, React, SQL, Java",None,5.5,100,Software Engineer
Master,"NLP, TensorFlow, Python, Pytorch",None,5.5,100,AI Researcher
Master,"Linux, Ethical Hacking, Cybersecurity, Networking",None,5,100,Cybersecurity Analyst
Master,"Java, React, C++, SQL",Google ML,3,85,Software Engineer
PhD,"Java, SQL",Google ML,6.5,100,Software Engineer
Bachelor,"NLP, Pytorch",AWS Certified,6,100,AI Researcher
Bachelor,"Java, C++, SQL, React",Google ML,8,100,Software Engineer
Master,"Pytorch, Python, TensorFlow",None,3,65,AI Researcher
Master,"Networking, Ethical Hacking, Linux",None,5.5,85,Cybersecurity Analyst
Bachelor,"TensorFlow, Python, Pytorch, NLP",Deep Learning Specialization,3,70,AI Researcher
Master,"SQL, React, C++, Java",Google ML,7.5,100,Software Engineer
Master,"TensorFlow, NLP, Python, Pytorch",Deep Learning Specialization,7.5,100,AI Researcher
Master,"Deep Learning, SQL, Machine Learning",Deep Learning Specialization,7,100,Data Scientist
Master,"TensorFlow, NLP, Python, Pytorch",AWS Certified,7,100,AI Researcher
Master,"Python, TensorFlow, NLP",None,9,100,AI Researcher
Bachelor,"Cybersecurity, Ethical Hacking, Networking, Linux",Google ML,2.5,65,Cybersecurity Analyst
Master,"Pytorch, NLP",AWS Certified,4.5,90,AI Researcher
Bachelor,"Cybersecurity, Ethical Hacking, Linux, Networking",AWS Certified,6,100,Cybersecurity Analyst
Master,"Python, Deep Learning, SQL",AWS Certified,5,95,Data Scientist
Bachelor,"SQL, C++",Google ML,2.5,45,Software Engineer
Master,"Python, TensorFlow, Pytorch",None,0.5,20,AI Researcher
Bachelor,"SQL, Deep Learning",AWS Certified,4,75,Data Scientist
Bachelor,"TensorFlow, NLP, Python, Pytorch",None,5.5,90,AI Researcher
PhD,"Cybersecurity, Networking",None,3,60,Cybersecurity Analyst
PhD,"Linux, Ethical Hacking, Cybersecurity",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Networking, Linux, Cybersecurity",Google ML,5,85,Cybersecurity Analyst
Bachelor,"TensorFlow, Pytorch, Python, NLP",AWS Certified,8,100,AI Researcher
PhD,"C++, React",None,4,85,Software Engineer
Bachelor,"React, SQL, Java",AWS Certified,1.5,40,Software Engineer
Bachelor,"Pytorch, TensorFlow, Python",None,6.5,100,AI Researcher
Bachelor,"TensorFlow, NLP, Pytorch",Deep Learning Specialization,6,100,AI Researcher
Master,"TensorFlow, NLP",Deep Learning Specialization,6.5,100,AI Researcher
Bachelor,"SQL, Machine Learning",Deep Learning Specialization,5.5,100,Data Scientist
PhD,"Ethical Hacking, Linux, Networking, Cybersecurity",None,3.5,70,Cybersecurity Analyst
PhD,"Networking, Cybersecurity",None,5,65,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Networking",Deep Learning Specialization,7,100,Cybersecurity Analyst
Bachelor,"Networking, Ethical Hacking",Google ML,1.5,50,Cybersecurity Analyst
PhD,"Cybersecurity, Networking, Ethical Hacking, Linux",AWS Certified,4.5,100,Cybersecurity Analyst
Master,"NLP, TensorFlow, Pytorch",None,6.5,95,AI Researcher
Bachelor,"SQL, Java",AWS Certified,3,50,Software Engineer
PhD,"Pytorch, Python, TensorFlow",Google ML,3,55,AI Researcher
Bachelor,"Machine Learning, Python",Deep Learning Specialization,2.5,60,Data Scientist
Master,"Linux, Cybersecurity, Ethical Hacking",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
PhD,"Python, Pytorch, NLP, TensorFlow",Deep Learning Specialization,6,100,AI Researcher
Bachelor,"Pytorch, TensorFlow",AWS Certified,6,95,AI Researcher
Master,"SQL, Java",None,0.5,20,Software Engineer
Bachelor,"Networking, Cybersecurity, Ethical Hacking, Linux",Deep Learning Specialization,4,90,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Networking",Google ML,5,100,Cybersecurity Analyst
PhD,"C++, SQL, React, Java",AWS Certified,7.5,100,Software Engineer
PhD,"Deep Learning, Machine Learning, Python, SQL",None,8.5,100,Data Scientist
Master,"Networking, Linux, Ethical Hacking, Cybersecurity",None,1,30,Cybersecurity Analyst
Bachelor,"NLP, TensorFlow, Python",AWS Certified,6,100,AI Researcher
Bachelor,"Pytorch, NLP, Python",None,3.5,60,AI Researcher
Master,"Java, SQL",Google ML,8,100,Software Engineer
PhD,"Linux, Cybersecurity",None,4.5,65,Cybersecurity Analyst
PhD,"Deep Learning, Python, SQL, Machine Learning",None,1,30,Data Scientist
Master,"Cybersecurity, Ethical Hacking, Networking",Google ML,8,100,Cybersecurity Analyst
Bachelor,"Python, NLP, Pytorch, TensorFlow",AWS Certified,5.5,100,AI Researcher
PhD,"C++, Java, SQL, React",None,9,100,Software Engineer
Bachelor,"React, Java",None,1.5,40,Software Engineer
Master,"Python, Pytorch",Deep Learning Specialization,7.5,100,AI Researcher
PhD,"Deep Learning, Python, SQL",Deep Learning Specialization,2.5,60,Data Scientist
Bachelor,"Python, NLP, Pytorch, TensorFlow",Google ML,1.5,45,AI Researcher
Master,"Python, TensorFlow, NLP, Pytorch",None,6,100,AI Researcher
Master,"C++, React",None,5.5,100,Software Engineer
Bachelor,"Ethical Hacking, Linux, Networking, Cybersecurity",Google ML,2.5,55,Cybersecurity Analyst
PhD,"SQL, Python",AWS Certified,8.5,100,Data Scientist
Bachelor,"Ethical Hacking, Networking, Linux, Cybersecurity",Google ML,4,70,Cybersecurity Analyst
Bachelor,"SQL, Machine Learning, Deep Learning",None,2.5,60,Data Scientist
Master,"SQL, Java, React, C++",Deep Learning Specialization,6,100,Software Engineer
Master,"React, SQL, C++",Google ML,8,100,Software Engineer
Bachelor,"Machine Learning, Python, Deep Learning, SQL",AWS Certified,4,100,Data Scientist
PhD,"Networking, Ethical Hacking",AWS Certified,4.5,75,Cybersecurity Analyst
PhD,"Python, TensorFlow, Pytorch, NLP",None,5.5,90,AI Researcher
Master,"Linux, Cybersecurity",Google ML,4,60,Cybersecurity Analyst
PhD,"Java, C++",Deep Learning Specialization,5,85,Software Engineer
Master,"React, Java",None,6,95,Software Engineer
Master,"TensorFlow, NLP",None,6,80,AI Researcher
Bachelor,"SQL, Java, C++, React",Deep Learning Specialization,7,100,Software Engineer
Bachelor,"Linux, Cybersecurity, Ethical Hacking",None,7.5,100,Cybersecurity Analyst
Bachelor,"Pytorch, TensorFlow, Python, NLP",Google ML,4.5,95,AI Researcher
Bachelor,"Python, TensorFlow",AWS Certified,3,65,AI Researcher
Master,"C++, Java",Deep Learning Specialization,3,70,Software Engineer
Master,"NLP, Python, TensorFlow",AWS Certified,8.5,100,AI Researcher
Bachelor,"Cybersecurity, Linux",Deep Learning Specialization,5,100,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Linux, Networking, Cybersecurity",Google ML,5.5,100,Cybersecurity Analyst
Master,"Cybersecurity, Ethical Hacking",Deep Learning Specialization,4.5,75,Cybersecurity Analyst
Master,"Cybersecurity, Linux, Ethical Hacking, Networking",Deep Learning Specialization,5.5,100,Cybersecurity Analyst
Master,"Machine Learning, Python, Deep Learning",Google ML,2,55,Data Scientist
Bachelor,"Linux, Ethical Hacking",None,5.5,85,Cybersecurity Analyst
Master,"Cybersecurity, Networking, Linux",Google ML,6,100,Cybersecurity Analyst
Master,"Java, SQL",AWS Certified,6,90,Software Engineer
Bachelor,"Networking, Cybersecurity, Ethical Hacking, Linux",None,3,70,Cybersecurity Analyst
Bachelor,"React, SQL",Deep Learning Specialization,8,100,Software Engineer
Bachelor,"SQL, Java, C++",AWS Certified,7.5,100,Software Engineer
Bachelor,"Pytorch, TensorFlow",Google ML,8,100,AI Researcher
